query_gallery_id,query_path,gallery_id,gallery_path,rank,distance
bzrrcb,bzrrcb,na66z1,na66z1,1,0.4151807725429535
bzrrcb,bzrrcb,11jtv4,11jtv4,2,0.42852598428726196
bzrrcb,bzrrcb,silzf0,silzf0,3,0.44243374466896057
bzrrcb,bzrrcb,ax126d,ax126d,4,0.466019868850708
bzrrcb,bzrrcb,40yjc4,40yjc4,5,0.5801002383232117
bzrrcb,bzrrcb,18vuoa,18vuoa,6,0.7275502681732178
bzrrcb,bzrrcb,k492z8,k492z8,7,0.7387784719467163
bzrrcb,bzrrcb,ilgq44,ilgq44,8,0.7440029978752136
bzrrcb,bzrrcb,mjqrv3,mjqrv3,9,0.7507421374320984
bzrrcb,bzrrcb,sghqpc,sghqpc,10,0.7519404888153076
bzrrcb,bzrrcb,uv14j3,uv14j3,11,0.7544407248497009
bzrrcb,bzrrcb,3wacgc,3wacgc,12,0.7653661370277405
bzrrcb,bzrrcb,12isy9,12isy9,13,0.7683969140052795
bzrrcb,bzrrcb,jybxe3,jybxe3,14,0.7869934439659119
bzrrcb,bzrrcb,7apngc,7apngc,15,0.7892234921455383
bzrrcb,bzrrcb,qdapx4,qdapx4,16,0.7896978855133057
bzrrcb,bzrrcb,0hsu18,0hsu18,17,0.7958009243011475
bzrrcb,bzrrcb,mp36z7,mp36z7,18,0.7994956970214844
bzrrcb,bzrrcb,46pyg0,46pyg0,19,0.8052838444709778
bzrrcb,bzrrcb,umbqqb,umbqqb,20,0.8055989742279053
bzrrcb,bzrrcb,c1cvaf,c1cvaf,21,0.8067328929901123
bzrrcb,bzrrcb,8rqg81,8rqg81,22,0.8072866797447205
bzrrcb,bzrrcb,enbzv2,enbzv2,23,0.8080288171768188
bzrrcb,bzrrcb,da80r6,da80r6,24,0.8088435530662537
bzrrcb,bzrrcb,s8o6f6,s8o6f6,25,0.8095930814743042
bzrrcb,bzrrcb,r4r1j0,r4r1j0,26,0.8142195343971252
bzrrcb,bzrrcb,ele7qd,ele7qd,27,0.8156360387802124
bzrrcb,bzrrcb,6j6smg,6j6smg,28,0.8205512166023254
bzrrcb,bzrrcb,n888te,n888te,29,0.8207749128341675
bzrrcb,bzrrcb,xt44yc,xt44yc,30,0.8221338391304016
bzrrcb,bzrrcb,nu639a,nu639a,31,0.8235746622085571
bzrrcb,bzrrcb,magt44,magt44,32,0.8257693648338318
bzrrcb,bzrrcb,ixawn1,ixawn1,33,0.8284232020378113
bzrrcb,bzrrcb,b2cnae,b2cnae,34,0.832065999507904
bzrrcb,bzrrcb,bwiv5b,bwiv5b,35,0.8338119387626648
bzrrcb,bzrrcb,iplat0,iplat0,36,0.8346941471099854
bzrrcb,bzrrcb,4m9xdf,4m9xdf,37,0.8352295756340027
bzrrcb,bzrrcb,a6ggjb,a6ggjb,38,0.8367871642112732
bzrrcb,bzrrcb,ox0fic,ox0fic,39,0.8398703932762146
bzrrcb,bzrrcb,a8w9ib,a8w9ib,40,0.8409687876701355
bzrrcb,bzrrcb,05gks1,05gks1,41,0.843011736869812
bzrrcb,bzrrcb,gd74b6,gd74b6,42,0.8435602784156799
bzrrcb,bzrrcb,rquo14,rquo14,43,0.8448446989059448
bzrrcb,bzrrcb,lm2no9,lm2no9,44,0.8448827266693115
